id (S),company (S),content (S),createdAt (S),keyword (S),sentiment (S),tweetId (N),user (S),userId (N)
cbb400b9-d68e-4410-a743-e0f78e784622,GEICO,"Save 15% of your car insurance by switching to Geico, it's what you do. Stare directly into the solar eclipse, it's what you do.",negative,GEICO,negative,899684605304950785,chasevandenb,1343505060
8d02a6dd-e977-4626-991e-c6d9ebec939d,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899642860349386752,Perry_Boy17,1268450107
20f046d2-1461-4b02-bd7d-5ca748b24647,AIGInsurance,@AiG Come on... Even you've got to admit the magic rib-woman story with the talking snake is pretty implausible 😂😂😂,not,AIG,negative,899687946168803328,WestMonstrous,821995495077908480
93be6e2d-b3b9-48e7-b1e8-79b3a127b49e,GEICO,"trying to get a homeowners quote from @GEICO, they're demanding I have my house insured for at least $100k more than it's worth.",negative,GEICO,negative,899658275351912449,CramersShirt,790309974
f347f3b5-1973-4554-b64e-b03117b7ab39,AIGInsurance,"RT @AiG: What Will Happen on September 23, 2017? https://t.co/Ccxr7nn4hD https://t.co/Fe8wN5uooA",neutral,AIG,positive,899677630194208769,thank_christ,899674627986817024
45082b3f-f5d5-40fa-b3cb-8bdefe44327d,GEICO,RT @TooFred: By @SteveUCNLive: @BudCrawford402 becomes unified and undisputed https://t.co/JsLVwRH6t2 @TRBoxing @ESPN @GEICO @TRBoxeo @ESPN…,neutral,GEICO,positive,899649117848195072,kotickets,2426268282
94152370-dabb-4686-948e-1ce678dd12ce,AIGInsurance,"@javierjuantur @caval100 @Anonymous_W0lf @manueljarias @Manololorente @fermasamx @locuspolitikus @profesorlupa @rosarobco @Javi_Quique_OK Si aigües la cuenta de los mossos, aún no lo han confirmado.",not,AIG,positive,899656622607347712,Daroib,138733199
8d256e35-631d-4307-b34f-44eaf976aa02,AIGInsurance,"@AiG Constellations are a figment of human imagination, a flattened view of massive lengths of interstellar space. Just like #literalism. False.",not,AIG,positive,899638067841175552,gofast,15765287
54e10b5d-cb8a-4b90-be9d-7f4c25e78aea,AIGInsurance,@AiG And yet more than 30% believe in #creationism. Which means a biblical worldview may not be what you think. And that's true.,not,AIG,negative,899639321136951296,gofast,15765287
5a65c0ad-c5fa-4a7e-9f0a-a5a803d59a3f,AIGInsurance,AIG Wants to Sell $2 Billion in Life #insurance Settlements Business https://t.co/9eZl8FWDYm,positive,AIG,negative,897942037873303552,insuranceiscool,32414203
18166899-f92e-4cbb-9fe8-be86c2861383,GEICO,@radinfo @tampabaytimes @GEICO @WFLA @TheGEICOGecko @GEICO_Service Day 37 w/out my #jeep so prob prepping for a good Super Bowl spot,neutral,GEICO,negative,899642351760617472,theBGexperience,253143194
9fb00f5a-f55a-4811-8399-441858b5d5b1,GEICO,RT @CahootzMe: Feeling extra productive cleaning out my Geico green goop email monster @Unrollme https://t.co/0PlBDhq3Mo,negative,GEICO,positive,899680606057099265,cessfinvecu1985,884106182868205569
e2a436a3-a3a9-4889-aac9-64ea1b4734e0,State Farm,RT @PutOnTheBRAKES: .Every vote counts to get $25K @StateFarm grant in Memphis #SFNeighborhoodAssist https://t.co/4kcVrKaPLV,neutral,StateFarm,positive,897949617517584384,TheBerlinetta,154667395
e61d9359-45b3-4071-b504-3b1be2c31a96,State Farm,RT @LISCChicago: Thanks to all of our #HoopsInTheHood partners and supporters! Especially @StateFarm @ChicagoParks @ChicagosMayor… ,positive,StateFarm,negative,899658440854908929,LISC_Policy,534599939
30dc4deb-3974-4269-a91a-ad24dfe19f0e,State Farm,"You bill me whatever is good for you, @StateFarm https://t.co/xHibSvL4BJ",negative,StateFarm,negative,899693996045467648,rel904,45191501
305725fd-7f58-4cb0-825f-69a7e654f291,AIGInsurance,"この動画に関するSNS上の投稿トップ5のうち、4つがAIGからの発信ではなく、他のアカウントによるものであった

これはソーシャルメディアの活用において、メッセージが伝わりやすいように整理されたものであれば、コンテンツは自然と拡散されていくということを証明している https://t.co/p5Puu5wdkM",not,AIG,positive,897946069442719744,NsportsJp,841628804242014210
5e3f4875-f189-4475-9e48-5fa200e02719,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899667402786557954,yourbrobigjoe,1206480918
36210cd1-5643-411c-88ba-63f23539c562,State Farm,"RT @ClayMillican: Please take a moment to vote and help us win this grant from @StateFarm for @PutOnTheBRAKES 
Thank You !!!… ",neutral,StateFarm,negative,897941668883779584,jctoyzhut,2759903166
a3c0a1f7-f28d-44b5-bca9-30137f743482,GEICO,Running of the Bulldogs – GEICO https://t.co/9xXS6FwLMg #hourofcute,neutral,GEICO,positive,899671943913377792,SJWOnTime,4244000956
7b5ee46a-21a6-4889-9629-e608f2100870,FarmersInsuranceGroup,I just checked in at Farmers Insurance Group with #mPLUSPlaces Download today!  https://t.co/7KHfPNyQFW,neutral,Farmers Insurance Group,positive,899652362867953664,mshtdh,2163576059
a7617e32-2315-4a79-8ba9-9e2f2718a320,GEICO,"Martin, Hampshire in Podium Battle at Budds Creek Motocross – GEICO Honda Team PR https://t.co/FpZjm8tEOo https://t.co/ctfhKP8elJ",neutral,GEICO,positive,899692881220444161,mb4uli,53629904
bbdf327f-84b2-4675-b154-8baddb706932,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899682430264766465,milkjamaican,1466062052
7340c9e4-476d-46b3-a4f0-e1fab872a84d,AIGInsurance,"AIG discute Seguros D&O, Riscos Cibernéticos e Ambiental no 12º Seminário Internacional da ABGR https://t.co/iE2fvrP8hQ",not,AIG,positive,899656771656134656,ajosevieira,197605384
254353b2-824c-412d-8a3d-63c109ab14a8,AIGInsurance,"@AiG Timing, mostly.",not,AIG,negative,899639385934712832,gofast,15765287
12d38fbf-4038-4fc5-b4b4-caabd39166ab,FarmersInsuranceGroup,Customer Engagement Linchpin Of Success At #FarmersInsurance - https://t.co/tCiBAH9L0f,positive,farmersinsurance,negative,899647716699123713,Loyalty360,16273972
65854e16-b4d3-4d2f-8085-a6e32befb917,AIGInsurance,@aigkenham @AiG There is no word of god. Who told you it was gods word? Man.,not,AIG,positive,899671861520465921,SBuddie1877,841365912489975816
ba57b4cb-228f-44ee-a6b2-4cfc0e038030,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899655533480693761,hunterGhunko,2980989439
9b774257-aeb6-4a67-9c51-e6b80cd8a20b,State Farm,RT @TSIChildren: Help us win a $25K grant from @StateFarm 2 invest in Florida’s future! Vote now: https://t.co/I534P6YaI7!…,positive,StateFarm,negative,899651706291703809,DYMETIME09,64866353
36054c85-26fd-4039-96ab-f98c4ab6fab8,State Farm,"@SkullsNCookies @math_tagger Hey it's Jake !
From state farm!
*immediately takes screenshot and reports him for not wearing khakis* https://t.co/lagFWG6ONm",positive,State Farm!,positive,899650340852703233,colbywinters,72181342
a329d493-2a69-49d2-affd-35024f2f1768,State Farm,RT @SF_JimSlaven: Simple Insights https://t.co/ppbHjiNLGN via @statefarm,neutral,StateFarm,positive,897936249507524608,NWIUrbanLeague,2888894904
92ae8c26-5c18-48a1-95d9-e639111010ea,AIGInsurance,@AiG Ask the astronomers . They know what they are talking about. AiG can't tie showlaces without help,negative,AIG,positive,899664014904524800,257scepticism,853660585820598272
3aeb1a2a-70a3-461a-b6f3-1f2560925eb5,GEICO,@CNN Maybe if you all got GEICO...,positive,GEICO,positive,899673375450296322,MotherSquid,168392491
36ae9eed-817c-4d60-826f-ec28c4947049,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899649925360779265,TheTaylorFlavor,704313864
23f52779-326c-419e-9a9c-5dced714cd81,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899674274868461568,tonykaraj,2789924230
f4103394-247e-4baa-acec-7cc1f15c48f0,AIGInsurance,"RT @bannanYF: #Rehearsals #Readthrough #Sreath5 #bannan

+cuimhnichibh S3, Ep2 air @bbcalba a-nochd aig 10f!

+don't forget S3, E…",not,AIG,positive,899680278762881027,tiroran,339267392
3a154ac2-a8a9-40fc-a3cc-75c1dea61a96,AIGInsurance,"@ofctimallen Even Ken Ham (AIG)  doesn't ask this
https://t.co/AwStLePXFm",not,AIG,positive,897937852591259650,GodlessRobot,754331237062369280
3a53dd7d-e82d-4868-a7df-7081ce2744fc,GEICO,#GEICO SportsNite: Backup QB competition heats up. Read more: https://t.co/ImqEc4njZo,neutral,GEICO,negative,897949539285348352,bfsi_mli,4847921961
a4048491-481f-412b-afbe-57683fae57dc,AIGInsurance,@SolKane12 @aigkenham @AiG How do you know it's true?,neutral,AIG,negative,899693804890009600,bytownbamboo,785896260398096384
3a8f88ee-53dc-478a-80ca-9255765ee253,AIGInsurance,RT @NsportsJp: AIGのスポンサーシップ責任者であるダニエル・グランツ氏は、「私たちは日本の保険市場における事業拡大のため、AIGを象徴し、かつお客さまの印象に残る物を作成したかった。」 https://t.co/p5Puu5NOck,not,AIG,positive,897946871057928192,mikao_e,861161707
d130805b-83b4-4307-aab6-0f57716a3dfe,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899679820103258112,carlosalvar3z,25030702
4c97fc7e-80bc-4e78-a0e4-c07a85045231,AIGInsurance,"Why am I not surprised @AiG that you had Matt Staver, founder of a SPLC listed anti-LGBT hate group as a speaker? https://t.co/ZBIlqZrLik https://t.co/wugJe2jsgK",negative,AIG,positive,897944773821988865,KrisStrawman,828724531686735872
221f3985-52a2-4fca-aab1-17a1906ec7a4,AIGInsurance,Congrats @fasanophil @AIGinsurance as a #CIO100 @CIOevents Hall of Fame inductee! @NTTDATAServices #weliveforthisstuff #NTTDCxO https://t.co/9W2DElyCAx,positive,AIG,positive,899679110187933696,AnkicaMarCom,44045696
1d9d262a-21f8-4f1a-89b7-dec4cbacbd24,theHartford,"RT @JermaineWatkins: Episode 2 of the Hartford Series Singles

@THEHEARTTRAIN ❤️

#OnceUponATime

@AmazonKindle @GoodReads #AmWriting https…",not,the Hartford,positive,897934169954807809,TheHeartTrain,762109535796469760
82c1712f-166c-4461-88cb-2faf650788a6,AIGInsurance,RT @InnovacionPma: ¿Sabías que Panamá a través de la AIG impulsa la conectividad a Internet y un Gobierno Digital para la equidad ciud… ,not,AIG,positive,899668016551645186,UCIP_PA,894562161099509760
9513bb59-c53d-4bcc-8236-af063712be85,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899641458386403328,ChrisCmbl,414200154
d0e325e6-4b4a-4583-af90-f56c9bccddfd,GEICO,@TyphDidntDoIt_ Geico lmao,neutral,GEICO,negative,899675627069952004,TallThiccNdBadd,203214539
6665e5d2-438c-4e94-8218-d16e784c89c4,GEICO,RT @stfuslutx: 181. ) when geico doesn’t save you 15% or more on car insurance  https://t.co/yFSD9e3d4v,negative,GEICO,negative,897947235643674625,_Evelynx3_,2592001668
1e50dbfc-9c8d-43f5-869a-3a34ebbf234f,GEICO,"ITS OK I HAVE $250,000,000 INTERNATIONAL @ING_news LIFE INSURANCE SO EVEN IF I DIE MY FAMILY GETS RICH @GEICO ONLY GOES UP TO $10MIL",negative,GEICO,negative,899658991428657152,Ben1NOT2BFORGOT,4022177650
9b572e8c-a34a-42f3-9f8a-f5d62c9d3442,GEICO,RT @cameronbaII: save 15% or more on insurance by switching to geico during the eclipse,positive,GEICO,negative,899690540358356993,Shelby45y,58326355
