id (S),company (S),content (S),createdAt (S),keyword (S),sentiment (S),tweetId (N),user (S),userId (N)
00579d3a-460a-41ad-b4d2-e2be7cbba4c9,GEICO,"I was wondering if have SR22 policies for Navy Ships @GEICO & @Progressive? 
Thank You in advance
@realDonaldTrump https://t.co/PkPUxrPqh2",neutral,GEICO,positive,899639319270481920,ObisKanobis,3040209778
c69c3605-ca3f-4a3d-a25c-c4f3c0a6b21b,State Farm,Had to cancel my policy with @StateFarm they didn't even ask why I was cancelling https://t.co/sate4tcMuM,negative,StateFarm,positive,899671385706024960,theraiway,735264311615098880
a9d7f4fc-6f88-44a3-9569-ff054157bd3b,AIGInsurance,@aigkenham @AiG The word of which God?  You have so many Gods to pick from.,not,AIG,negative,899679438849294337,AGenericBody,720769072187576321
5d1165c2-521e-4602-8f17-d76529ea950c,Liberty Mutual,"Want to work at Liberty Mutual Insurance? We're hiring in #Portsmouth, NH! Click for details: https://t.co/uK5oag91Oe #Sales",neutral,Liberty Mutual,positive,897936162748121088,tmj_NHC_sales,218766987
7d595be4-6c6e-49cc-8cc1-5b3b3ebdfbfe,theHartford,Guys I found a bunch of eclipse glasses in the dumpster behind the Hartford theater! DM for prices. https://t.co/WGTFbacS9r,not,the Hartford,positive,899652378965590016,GreatHendowski,856711279335133186
e1ca41ed-c92e-43a7-86ef-84309843f21d,State Farm,RT @nyliberty: .@Breezyyy14 found @14Sugar wide open for an easy lay-up! Your @Statefarm Right Combination of the Game. https://t.co/QEpXTU…,neutral,StateFarm,negative,899644737635962880,BlackLionattaka,89309155
de794e50-a1ad-4c21-a946-1e154d119078,GEICO,RT ThePressofACRT VOgrodnek: While your looking up the GEICO Skytypers prep for Atlantic City Airshow. Follow at … https://t.co/qjgBhTmkdZ,neutral,GEICO,positive,899685233427087364,NewswireAcape,4544109078
8cb389a1-f25d-4e46-9b39-ee4c67a6838f,GEICO,RT @HVCollision: We did it! On Saturday @HVCollision & @GEICO donated three cars to three veterans during a @ValleyCats game! Did we… ,positive,GEICO,positive,899639173036036096,JCarron,964074320
af98a54f-5e9a-4e8e-a5d4-9f06799cfa2d,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899693861618036737,GoodrowJacob,832342753
46f8a22d-7abf-42df-bada-8c0f9af97f0f,AIGInsurance,@SolKane12 @aigkenham @AiG Which would that be?,negative,AIG,positive,899678973113888768,bytownbamboo,785896260398096384
a2e6b83c-a2ed-4c2b-ad91-fb523e01bc62,AIGInsurance,"What the Chart Indicates for American Intercontinental Team, Inc. (AIG) – Economics and income https://t.co/1IS7mWloUL #insurance",not,AIG,positive,899690940759199745,good_assurance,788674533914017792
018d192d-0e2d-431c-90c0-69ad31af5cc9,AIGInsurance,Hey @OliveChapelElem T1 AIG testing started today. All students who were nominated recieved a reminder slip with specific days and times. 📝,not,AIG,positive,899641614401929217,MyGiftedGazette,3368251522
91e2b357-de10-489a-b8fd-d002784b151f,GEICO,Did you know if someone runs a red light and hits you it can still be your fault. Well according to Geico it can be. https://t.co/brNdOpkP6L,negative,GEICO,negative,899677522018828288,joking78,510190683
8730603c-48b3-4e87-a19e-09312bc44f3c,GEICO,Lucas Oil Pro Motocross Championship and #GEICO Team Up  in Support of the Military at Budds Cr... Read more: https://t.co/iVTBrggs0i,positive,GEICO,negative,897949376701579264,bfsi_mli,4847921961
06bb289d-0c25-4651-b8a3-3e8bd2ca7b7c,GEICO,@garthbrooks @GEICO @amazonmusic Peace without justice and Empathy is like a pink elephant flying – fantasy - please watch & retweet - https://t.co/nnXcAoAjYw,neutral,GEICO,positive,899638910162042880,OneEarthOneHuma,2695746536
688fd9fe-8221-4fc6-a372-23be275efff0,State Farm,RT @Nana87x: KARD at the State Farm Booth #KARD #StateFarm #카드 #KCON #KCON17LA https://t.co/pTb15D3zi4,neutral,StateFarm,positive,899673911704469506,jxsomin,496750896
977cf47a-ea4f-41ee-ad03-abdb97965a74,theHartford,"The Hartford entrusts Prudential with $1.6 billion in pension obligations for 16,000 former U.S. employees https://t.co/gQQRqYH2L2 #finance",negative,the Hartford,positive,897944123079970816,financeprnews,93372597
18daf3dc-511f-4931-9990-fa2361b1f5b2,AIGInsurance,"RT @BBCRnG: BDR a-nochd le Moreen aig an stiùir agus Megan, Joe agus Koren air aoigheachd bho 7.05f https://t.co/ZPflyr508W https://t.co/6h…",not,AIG,positive,899682042346131456,AngusELambkin,113634035
75d5eade-45ec-42ee-8840-16646c887703,State Farm,"Swing by the @StateFarm #HereToHelp booth for shades, sunblock, and more! https://t.co/HYkKXx0Um6",neutral,StateFarm,negative,899676462747353088,BlossomMusicCtr,171097911
fd036bf5-fd06-4a5c-a47b-ca30088c3e4c,AIGInsurance,सरकार नवराज सिलवाल AIG हुन पनि अयोग्य हो? कि रिस फेरेको हो? यत्रो नांगो त नहुम न@Hello_Sarkarl @DeubaSherbdr @NepalPoliceHQ,not,AIG,positive,899639336651468800,sureshdhkl,3142982294
93f3e7ea-4187-4e9e-9282-39185616d219,AIGInsurance,"RT @PaisKM0: Sobrevolem #Tiurana, un poble ressorgit de les aigües!!! A partir de les 18h, no et perdis el #PaísKM0! @LleidaTV…",not,AIG,positive,899646027363495937,BalaguerTV,464581199
0cb33a16-1fb4-49fe-a132-d7b602f206dc,State Farm,RT @lorsly15: That was definitely worth the wait @KARD_Official ✨❤️ #Statefarm #KCON17LA https://t.co/GcAr4gf2Ly,positive,StateFarm,negative,899653531853914112,AsKseph_,894045400402767873
ccf61df8-d7fb-49ed-b6c5-73d7ef5f35da,GEICO,i love & ya squadmembers 100% Uberd up 2 tha geico soundcloud ads,positive,GEICO,negative,899668777104703489,b0tBT,727399042339229696
18eb8402-7aba-49eb-a7a2-5fea4af6aebd,AIGInsurance,"RT @botteQ: 🤡#hollande #LREM #EnMarche
🎃#Macron 🐼👠👠#BrigitteMacron 
🇫🇷#propaganda 🤢[macronite aigüe] dites vous qu'on en a pour… ",not,AIG,positive,899641907495751682,ta_malou,957864500
0a425cb7-a2dc-4143-8170-36936a670633,AIGInsurance,@SolKane12 @aigkenham @AiG Facts seems a good place to start no? (2),not,AIG,negative,899693101182328833,bytownbamboo,785896260398096384
