id (S),company (S),content (S),createdAt (S),keyword (S),sentiment (S),tweetId (N),user (S),userId (N)
1ccc6e94-1ce7-465e-82dd-6f84304b781c,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918488717911879681,htxbih,781622264055885828
26183905-a8b1-45f1-be0d-67cf1b724476,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918512310704066560,zzoboomafoo,884251487735599104
af42fdbe-69c6-427b-a271-7538d53031bf,AIGInsurance,@joydunlop @UofGlasgow A bheil Gàidhlig aig a h-uile ialtag Albannach? No dìreach anns a' Ghàidhealtachd?,not,AIG,positive,918500032797691904,robbiekerr21,2240866638
9044fa0e-1cba-4c20-9a04-55d7790e5f4d,GEICO,Geico Insurance on #Yelp: I got rear ended on Saturday.  No one was hurt and we were not traveling fast so the dama… https://t.co/pml2c24VU3,neutral,GEICO,negative,897936909393055745,AZHbomb,248458558
450c59c4-f68d-44e4-9077-192c5a033340,theHartford,Officers will be on scene investigating the Hartford shooting for some time. https://t.co/iXcLKd8Z6s,not,the Hartford,positive,899645003387023360,ChristineDempse,214936431
dcb0966d-16b6-4df1-b34c-3fd27c522595,GEICO,"Join the GEICO team! See our latest #job opening here: https://t.co/2FgqubMw7g #CareersUnexpected #Fairfax, Virginia #Hiring",neutral,GEICO,negative,899683553083932672,tmj_va_insur,524703037
314c5b90-71a4-4e2e-8151-5ecea65ab1e0,Liberty Mutual,"For the same cost as cul-de-sac hockey, you could protect your family with a Home Insurance policy from Liberty Mutual. https://t.co/ZdsK1cbzty",neutral,Liberty Mutual,positive,899662507966476289,Graegin,1035029155
310ba684-d157-49ff-af7e-5f1e96b23c50,State Farm,RT @SF_JimSlaven: Simple Insights https://t.co/if9CPqEpt3 via @statefarm,not,StateFarm,positive,897935118173519872,NWIUrbanLeague,2888894904
fe37e1c6-3c09-454b-aa91-b52f91c58476,AIGInsurance,"RT @BBCRnG: BDR a-nochd le Moreen aig an stiùir agus Megan, Joe agus Koren air aoigheachd bho 7.05f https://t.co/ZPflyr508W https://t.co/6h…",not,AIG,positive,899672692235923460,DerekPluto,322714170
80ff16f1-131c-42a9-892c-ff948f4ccb21,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918513653535649792,savonnaa,247050681
29a131f6-c0b5-44d7-a0bf-a019cb9e401d,GEICO,"https://t.co/KuzNjE5bmf Martin, Hampshire in Podium Battle at Budds Creek Motocross - GEICO Honda Team PR #SportsTap https://t.co/MdH0GNebVJ",not,GEICO,positive,899685476512092160,SportsTapApp,1343532620
ceba7847-626f-47ab-aa0c-274c23afd9de,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918513265159712768,WhosThatLady713,882204715798462465
7fedad15-bfc9-4c8c-a735-94aff41d81bd,AIGInsurance,"No hi ha defensa, no hi ha mig del camp, el Madrid ens apallissa, Gomes que es un inútil, Vidal fa aigües #frac1 #BartomeuDimissio",not,AIG,positive,897936201101062144,GCS725,438419267
6ca61228-1e94-4653-b8a6-9d2776496fc0,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918521300683055104,PelicanDick,842979601
9f84935c-8ef7-4840-8da1-3cb8f25d5b20,GEICO,@GEICO expect a lot of claims for totaled Eclipses today... https://t.co/q1GSf87zNM,neutral,GEICO,positive,899692571089412099,CT_blog,2279396087
6700e2bb-45d3-403e-9a35-6bf362a557e4,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918519989833003008,jaZiFRESH,54112490
ca5daa48-6d6c-4f9b-9af2-d58cf8e86cf6,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918516181975339008,AwSookiSOOKI_Ni,328236525
829de9a9-a28e-4337-bfd3-f721a6b52ae5,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918492156976926720,peacewillwiin,4286539636
c5f54a97-0edd-43af-ac81-043986c95e49,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918492203835641857,JB_Smoove,143330307
215d593b-7f68-469f-ab3c-85b3dd8f2832,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918520808569540609,elanbinn,966478417
fbef2d6d-f21d-40e4-b409-8d2cefee9c95,AIGInsurance,One flew into my room in @SabhalMorOstaig a couple of years ago and landed on the bed. Kind of Scooby Doo meets Ozzy Osborne... :-) https://t.co/JaS1WY1mzs,not,AIG,negative,918500698567991299,MarcMacUilleim,305031026
87906d16-782b-4d36-9d5f-7fcee691b902,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918511528785207297,katiexmcmahon,2528797320
46b6c1fa-4ba2-4d72-a7ef-41e9b2078cdd,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918496290954194945,briannalesk,1167041143
87b31d85-d6ee-4501-a15e-37030be83901,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918517429101359104,livyglizzy,3340424656
3f1ad54f-c12e-49ab-b568-f6b2286530c7,FarmersInsuranceGroup,I just checked in at Farmers Insurance Group with #mPLUSPlaces Download today!  https://t.co/g4oYtHpAxL,neutral,Farmers Insurance Group,positive,918516703612387328,jatatct,30379423
fe2d0a0f-fe72-4ee2-ac5d-a8b81ab6d362,AIGInsurance,"RT @324cat: El dia en 4 tuits: 5 lesions medul·lars a Catalunya cada any per capbussar-se en aigües poc profundes
https://t.co/g5g5xGF6lo",not,AIG,positive,897941036890193923,Llibrepixels,430671581
d92aa28c-7769-43d2-8e3e-728e6d3a5f95,AIGInsurance,"@Smete69 @AiG You could always visit real natural history museum, if you're actually interested.",not,AIG,negative,918510274289721344,volemangler,461883336
a0236d2f-aa8d-4f16-aecd-0891e0e9d2d6,State Farm,Have you voted for #RTSWS to win @StateFarm's #SFNeighborhoodAssist grant yet? Help us get more girls in STEM! https://t.co/vXOwHNFdGS https://t.co/25j69dL4cs,neutral,StateFarm,negative,897941812236746753,girlsrockwallst,520713620
41e07e16-a5b9-40bd-b262-63c33abf2391,GEICO,Wish this GEICO vending machine had white Reese’s 😫😫,negative,GEICO,positive,918506204103659525,femarie521,537633046
1f72f0ca-b049-431c-a573-42ec53e05207,AIGInsurance,"#ThankfulThursday

Proud to have AIG Travel  as a strategic sponsor! https://t.co/PxAJqqTN0r",not,AIG,negative,918506811006873600,SherylDHill,202685803
7387fcb8-c04f-4a1c-89cb-469a0d19be5b,GEICO,"I'm curious if you have SR22 policies for Navy Ships @GEICO & @Progressive? 
Thank You in advance
@realDonaldTrump https://t.co/PkPUxrPqh2",neutral,GEICO,positive,899639594592989184,ObisKanobis,3040209778
e4045296-2e8f-4c65-89c8-31a5a729307b,State Farm,RT @StateFarm: Spend #SeniorCitizensDay with someone who has a fascinating life story to tell. Volunteer at… ,neutral,StateFarm,negative,899652835930849280,jakefro38461986,877610576461131776
f2b75d58-f8ca-4e0e-b87e-0917dc104424,GEICO,RT @killmefam: N Koreas 1st Target should b the dude makin tha geico soundcloud ads,negative,GEICO,positive,899647512029536257,Mike4CoPrez,3237011337
459e82db-ecb5-43c2-bc73-59d07e2632f8,State Farm,We can make a different in students' lives w/ a $25K #SFNeighborhoodAssist grant from @Statefarm: https://t.co/I534P6YaI7! @JoseSotoSF https://t.co/XCX664xopF,neutral,StateFarm,positive,899657322317979648,TSIChildren,745620066
1bc96b49-20ff-4048-99b8-fea02dc7227d,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918505770995650560,kentheafriken,785959027763191808
