id (S),company (S),content (S),createdAt (S),keyword (S),sentiment (S),tweetId (N),user (S),userId (N)
b345d90b-c53d-444c-9db1-79de20ac59e1,AIGInsurance,@bytownbamboo @aigkenham @AiG You know.,not,AIG,positive,899687013435154437,SolKane12,885849103330148359
8579aea4-173e-4395-8c6d-5dd6ed67b3f9,AIGInsurance,@aigkenham @AiG And we do it without evidence and against all logic !!! YAY,not,AIG,positive,899675281912410113,ThinkingTheory,894859328095756288
bd031227-dbdc-45f6-9cfe-ad373882136d,AIGInsurance,@aigkenham @AiG Cool. Got any Hebrew slaves for sale? I'm doing some work around the house 🏡,not,AIG,negative,899691829402009600,James4124,565297079
947e112e-924a-4cdf-989f-1f1b39256f3f,GEICO,"Get to know GEICO for great careers, too. #hiring Corporate Aviation Intern https://t.co/TPN0A3csDG #ChevyChase, Maryland #Job #Jobs",neutral,GEICO,negative,899666949516386304,tmj_was_jobs,37935263
635a6d2d-31bb-422c-967b-540a2e760f60,State Farm,".@StateFarm billboards sure have changed since the mid-40s! But, you can still count on me to be #HereToHelp. #Throwback https://t.co/FyI5VX6hlb",neutral,StateFarm,negative,899648110212689920,ChrisMyAgent,897548340933668864
fad8a5c5-1d75-4d34-a1ee-dc656a5a8144,GEICO,Lucas Oil Pro Motocross Championship and #GEICO Team Up  in Support of the Military at Budds Cr... Read more: https://t.co/6iXCfv0L4r,neutral,GEICO,negative,897949220308533248,bfsi_pci,4847968215
097529f3-414b-4cbe-84c0-01c2c680270c,State Farm,RT @CamdenKroc: @SalvationArmyUS Help our Swim program get into the top #40 of the @statefarm natl comp ($25k)! Vote daily at https://t.co/…,neutral,StateFarm,negative,899686852004782081,BenOvadia1,574828695
622275b5-f78b-4d58-8ecb-9217877bc714,AIGInsurance,@ABC @NBC @CNN @AIGinsurance @wolfblitzer Trump was correct & honest. Those who twisted his words NOT honest. #MAGA @nbcsnl #Charlottsville https://t.co/eByKSVobFP,not,AIG,positive,899664515364794368,UlikeUkeep,768597269310386176
4e7fc8c8-d89d-4e08-b8e4-3fb95c350557,AIGInsurance,RT @AIGIreland: “I couldn’t imagine doing anything else”. Golfer @gleeson_alex gives an insight into what it takes to be an AIG Iri… ,not,AIG,positive,899678275064221700,SuibhneGeilt1,151408369
ae6697fe-6d7d-4be2-acc5-396ae56f8214,State Farm,"RT @ClayMillican: Please take a moment to vote and help us win this grant from @StateFarm for @PutOnTheBRAKES 
Thank You !!!… ",not,StateFarm,negative,897941287067844608,JohnBisciJr,319990590
